Seccion,Bigrama,Frecuencia
politica,IS,1561
politica,SA,1967
politica,AA,893
politica,AC,2779
politica,CH,524
politica,HU,208
politica,UM,444
politica,MA,1827
politica,AL,4169
politica,LA,4712
politica,CR,292
politica,RI,2250
politica,IT,1066
politica,TI,1965
politica,IC,2253
politica,CO,3429
politica,OQ,465
politica,QU,1906
politica,UE,3096
politica,ES,6615
politica,SU,1267
politica,UN,1882
politica,NU,435
politica,ER,4593
politica,RA,3990
politica,AS,4250
politica,SE,2865
politica,EE,1134
politica,EX,532
politica,XI,122
politica,IL,983
politica,LI,1820
politica,IA,2575
politica,AR,3927
politica,AY,534
politica,YC,105
politica,ON,5121
politica,NF,394
politica,FI,689
politica,IR,596
politica,RM,575
politica,MO,1169
politica,EY,184
politica,YA,281
politica,AN,3634
politica,NO,1873
politica,OT,843
politica,IE,1465
politica,EN,6421
politica,NE,2315
politica,EC,2169
politica,NT,3531
politica,TA,2997
politica,CT,793
politica,TO,2271
politica,OC,1280
politica,OL,1519
politica,LL,820
politica,AH,304
politica,OM,1320
politica,MP,814
politica,PO,1950
politica,OS,3987
politica,SI,2234
politica,CI,3932
politica,IO,3378
politica,NL,680
politica,LR,177
politica,AP,1449
politica,PA,1528
politica,AD,4144
politica,DR,249
politica,RE,4453
politica,ED,1730
politica,DE,7336
politica,EL,4896
politica,LE,2044
politica,XP,226
politica,PR,1539
politica,ID,1592
politica,TE,2952
politica,EO,281
politica,CU,936
politica,ST,2768
politica,ND,1842
politica,NA,3089
politica,DI,2054
politica,IN,2588
politica,EH,423
politica,HE,363
politica,EA,1291
politica,AB,1029
politica,BA,723
politica,DO,2547
politica,LP,774
politica,AI,508
politica,SJ,76
politica,JU,529
politica,OA,897
politica,UH,57
politica,HI,251
politica,IJ,100
politica,JO,291
politica,ME,1358
politica,OR,3057
politica,RT,987
politica,TR,1787
politica,SS,547
politica,RS,558
politica,NC,1767
politica,DA,1740
politica,SD,1545
politica,EP,915
politica,NP,545
politica,RL,503
politica,AV,564
politica,VA,717
politica,OD,2066
politica,IV,625
politica,VO,544
politica,CL,251
politica,RP,278
politica,PP,64
politica,PH,18
politica,CA,2063
politica,LC,563
politica,OE,1184
politica,LH,96
politica,HO,335
politica,EQ,228
politica,AO,237
politica,OP,1100
politica,PT,95
politica,LO,1933
politica,NB,111
politica,BR,716
politica,LM,449
politica,MI,1246
politica,OF,314
politica,FU,462
politica,EI,322
politica,RN,339
politica,PE,1568
politica,LD,631
politica,EB,464
politica,RB,94
politica,PL,411
politica,UC,552
politica,HA,776
politica,PU,691
politica,NV,318
politica,VE,885
politica,EZ,323
politica,ZD,34
politica,EF,445
politica,NI,1138
politica,IF,231
politica,FE,317
politica,OI,195
politica,AE,1252
politica,EV,564
politica,VI,788
politica,PD,20
politica,BI,586
politica,RO,2044
politica,OO,179
politica,RD,495
politica,NM,272
politica,AT,1046
politica,IM,743
politica,RR,416
politica,EG,786
politica,GL,49
politica,SY,329
politica,YE,249
politica,RC,505
politica,CE,979
politica,SO,1448
politica,OB,575
politica,ET,776
politica,EM,1208
politica,XM,32
politica,AM,1477
politica,MB,371
politica,NR,153
politica,OV,265
politica,UL,591
politica,NS,1054
politica,OY,315
politica,YS,160
politica,UF,50
politica,FA,288
politica,OH,202
politica,LY,116
politica,YO,197
politica,NG,363
politica,GO,560
politica,SR,234
politica,SC,1107
politica,TU,677
politica,UR,656
politica,SM,461
politica,MU,290
politica,UY,104
politica,YD,104
politica,SP,1393
politica,RU,650
politica,AF,439
politica,AU,556
politica,NQ,184
politica,PI,236
politica,AJ,391
politica,UD,342
politica,LS,304
politica,EJ,346
politica,US,748
politica,UA,682
politica,UI,474
politica,YF,42
politica,LT,382
politica,UP,238
politica,DY,34
politica,YR,57
politica,IG,427
politica,GU,477
politica,DH,13
politica,BL,450
politica,RJ,105
politica,UZ,38
politica,ZG,34
politica,GA,671
politica,GI,308
politica,LU,537
politica,IB,315
politica,DU,352
politica,RG,346
politica,OG,237
politica,GR,492
politica,LV,183
politica,LG,166
politica,BO,286
politica,LJ,86
politica,YL,175
politica,LQ,89
politica,DD,122
politica,SV,158
politica,AZ,168
politica,ZA,483
politica,AQ,352
politica,RQ,130
politica,SN,173
politica,BE,474
politica,LN,62
politica,JA,274
politica,XC,41
politica,ZO,188
politica,OJ,83
politica,LF,148
politica,UV,87
politica,HT,53
politica,TY,18
politica,YJ,24
politica,GE,307
politica,UB,288
politica,AG,387
politica,FP,8
politica,EU,297
politica,OU,244
politica,YV,36
politica,TV,20
politica,VG,3
politica,VU,23
politica,NH,89
politica,SG,92
politica,LB,77
politica,SL,447
politica,IZ,309
politica,UG,89
politica,XA,21
politica,UT,316
politica,UJ,53
politica,RZ,83
politica,ZI,10
politica,SF,260
politica,DM,59
politica,FR,158
politica,CC,200
politica,SH,158
politica,RV,129
politica,UU,26
politica,NY,106
politica,ZU,37
politica,TP,33
politica,FO,383
politica,IP,218
politica,YT,59
politica,XT,104
politica,ZF,8
politica,NJ,89
politica,ZR,18
politica,JE,246
politica,GN,51
politica,DP,47
politica,PS,29
politica,GD,6
politica,ZL,74
politica,ZS,19
politica,NZ,91
politica,ZE,48
politica,PN,17
politica,ZN,8
politica,CN,37
politica,YP,126
politica,UQ,12
politica,FL,89
politica,ZY,24
politica,BT,22
politica,ZM,19
politica,RY,99
politica,SQ,313
politica,YU,43
politica,ZT,12
politica,BU,123
politica,II,8
politica,PC,54
politica,QA,6
politica,IW,6
politica,WA,43
politica,YW,4
politica,IK,33
politica,KU,23
politica,BS,61
politica,ZC,25
politica,ZP,16
politica,VY,7
politica,NN,76
politica,YQ,50
politica,IY,21
politica,JI,42
politica,YM,80
politica,CK,23
politica,KM,4
politica,UO,55
politica,DB,12
politica,BJ,20
politica,DQ,20
politica,CD,11
politica,DL,16
politica,RF,48
politica,IU,75
politica,AX,15
politica,NW,15
politica,WH,12
politica,TS,35
politica,YI,6
politica,XE,9
politica,YH,23
politica,DN,28
politica,RH,45
politica,MD,10
politica,AK,17
politica,KL,6
politica,LW,6
politica,GT,6
politica,TT,20
politica,EW,11
politica,WY,1
politica,RK,6
politica,KE,32
politica,KJ,2
politica,DC,26
politica,KP,3
politica,YY,6
politica,FF,10
politica,LK,4
politica,YN,62
politica,IX,7
politica,DS,24
politica,SB,114
politica,BB,3
politica,BV,6
politica,NK,6
politica,KB,2
politica,BC,27
politica,CP,25
politica,PY,10
politica,MH,12
politica,PM,35
politica,ML,9
politica,MS,11
politica,KA,18
politica,BN,2
politica,PB,2
politica,TH,26
politica,TC,53
politica,IQ,41
politica,VS,5
politica,GV,1
politica,MM,5
politica,TJ,2
politica,ZZ,3
politica,FD,12
politica,TF,6
politica,WO,2
politica,YZ,3
politica,DV,20
politica,OX,50
politica,KT,5
politica,MC,9
politica,AW,26
politica,WE,10
politica,HL,8
politica,ZV,7
politica,GC,6
politica,CM,7
politica,DG,7
politica,OW,5
politica,WR,1
politica,SZ,7
politica,HM,4
politica,PQ,3
politica,ZQ,14
politica,XO,4
politica,VL,6
politica,CQ,8
politica,XG,1
politica,TD,11
politica,YK,13
politica,KO,20
politica,OZ,55
politica,IH,6
politica,BY,2
politica,VR,2
politica,DJ,3
politica,RW,3
politica,LZ,3
politica,DF,9
politica,YX,3
politica,TN,7
politica,XS,4
politica,EK,13
politica,KZ,1
politica,SK,13
politica,KI,14
politica,XD,12
politica,XJ,1
politica,MN,21
politica,FM,3
politica,OK,20
politica,CZ,5
politica,XV,6
politica,PF,10
politica,TB,15
politica,WI,24
politica,YB,24
politica,YG,17
politica,HS,4
politica,XF,6
politica,CY,6
politica,GG,3
politica,GS,7
politica,TM,4
politica,HC,3
politica,XQ,3
politica,SW,14
politica,ZH,2
politica,JN,5
politica,JL,1
politica,JR,4
politica,ZJ,6
politica,HR,3
politica,PJ,5
politica,JH,1
politica,HN,3
politica,PG,2
politica,DT,20
politica,KR,7
politica,TQ,1
politica,HF,1
politica,PK,2
politica,KY,3
politica,MT,18
politica,XU,16
politica,ZB,1
politica,TL,14
politica,HQ,3
politica,KC,4
politica,VP,5
politica,CJ,4
politica,JS,3
politica,GF,2
politica,XH,4
politica,FN,1
politica,JD,2
politica,TG,3
politica,JG,1
politica,HP,4
politica,CV,2
politica,VD,2
politica,TW,8
politica,NX,3
politica,XN,3
politica,WS,3
politica,CS,5
politica,MY,28
politica,FS,7
politica,KS,3
politica,VM,2
politica,VC,3
politica,GH,6
politica,QP,4
politica,PV,2
politica,HH,2
politica,HB,2
politica,MX,6
politica,VB,1
politica,UX,1
politica,CF,1
politica,DK,1
politica,GQ,1
politica,MF,4
politica,XR,2
politica,QE,2
politica,XL,1
politica,KX,1
politica,FB,1
politica,KN,2
politica,GM,5
politica,GP,4
politica,BD,2
politica,HD,1
politica,GY,1
politica,CB,1
politica,KK,2
politica,MQ,1
politica,KD,1
politica,WT,2
politica,GJ,1
politica,TZ,1
economia,EL,3390
economia,LU,372
economia,UL,299
economia,LT,257
economia,TI,1247
economia,IM,677
economia,MO,963
economia,OM,1093
economia,MI,854
economia,IE,1135
economia,ER,3142
economia,RC,435
economia,CO,2496
economia,OL,994
economia,LE,1606
economia,ES,4536
economia,SD,1064
economia,DE,4692
economia,EA,773
economia,AB,739
economia,BR,350
economia,RI,1710
economia,IL,537
economia,LP,469
economia,PL,208
economia,EN,4877
economia,NO,1358
economia,OD,1392
economia,LC,363
economia,ON,3227
economia,NG,216
economia,GR,345
economia,RE,2932
economia,SO,899
economia,OA,594
economia,AP,1344
economia,PR,1162
economia,RO,1584
economia,OB,298
economia,BO,212
economia,OP,835
economia,PO,1299
economia,OR,2328
economia,RM,380
economia,MA,1380
economia,AY,408
economia,YO,135
economia,IA,1658
economia,AL,2835
economia,LA,2956
economia,LI,1183
economia,IB,404
economia,BE,330
economia,RA,2814
economia,AC,1859
economia,CI,2576
economia,IO,2112
economia,ND,1326
economia,LD,426
economia,MP,545
economia,PE,1481
economia,NS,650
economia,SA,1448
economia,NP,293
economia,RT,644
economia,EM,969
economia,SE,2016
economia,RV,82
economia,VI,659
economia,IC,1363
economia,OS,3051
economia,SC,895
economia,CT,403
economia,TS,104
economia,SH,180
economia,HA,767
economia,AS,2822
economia,ST,1907
economia,TA,2115
economia,AE,946
economia,ED,993
economia,DI,1326
economia,MB,267
economia,EE,865
economia,SU,955
economia,UN,1490
economia,NA,2045
economia,AM,1095
economia,ME,1070
economia,ID,1257
economia,DA,1459
economia,AQ,246
economia,QU,1438
economia,UE,2432
economia,PA,1288
economia,IS,1003
economia,SI,1173
economia,EC,1735
economia,YA,398
economia,AJ,226
economia,JU,182
economia,NT,2345
economia,AD,2841
economia,EP,833
economia,AV,333
economia,VO,291
economia,OC,811
economia,CE,666
economia,AR,2731
economia,RL,278
economia,TO,1471
economia,RD,341
economia,DO,1918
economia,NL,411
economia,AF,287
economia,FI,403
economia,IR,423
economia,EV,475
economia,SQ,250
economia,EX,356
economia,XO,10
economia,NE,1607
economia,CH,435
economia,HO,366
economia,OG,188
economia,RU,513
economia,UP,181
economia,CA,1561
economia,RQ,107
economia,AI,374
economia,IN,1562
economia,NI,908
economia,AT,910
economia,IV,413
economia,VA,557
economia,EF,250
economia,FU,259
economia,CU,578
economia,IT,737
economia,TU,401
economia,UC,369
economia,OE,776
economia,LB,53
economia,BA,450
economia,AN,2685
economia,NC,1186
economia,TR,1178
economia,BC,3
economia,CR,275
economia,RY,65
economia,YE,254
economia,LM,258
economia,TE,1924
economia,YF,38
economia,NZ,92
economia,ZA,414
economia,SM,357
economia,FP,4
economia,PU,369
economia,SS,342
economia,SV,164
economia,UA,432
economia,LF,79
economia,LQ,47
economia,EB,298
economia,OQ,310
economia,OU,220
economia,EG,570
economia,GU,373
economia,UR,449
economia,EO,370
economia,DR,141
economia,ET,524
economia,SL,318
economia,AA,527
economia,LR,89
economia,RG,210
economia,GE,296
economia,EH,250
economia,AU,371
economia,UT,224
economia,FA,192
economia,NV,197
economia,EJ,236
economia,JE,202
economia,NU,572
economia,AZ,125
economia,ZO,151
economia,BI,436
economia,EU,248
economia,UO,27
economia,BS,33
economia,VE,651
economia,AO,156
economia,UB,182
economia,BL,378
economia,EQ,181
economia,UI,383
economia,OX,28
economia,XI,81
economia,IZ,265
economia,LO,1325
economia,JA,142
economia,UJ,37
economia,GI,353
economia,DP,41
economia,OH,149
economia,SY,273
economia,YT,40
economia,RP,164
economia,NM,206
economia,GO,308
economia,OV,288
economia,XP,184
economia,RR,387
economia,OY,402
economia,YP,175
economia,RW,87
economia,WH,87
economia,PP,104
economia,PN,89
economia,IG,388
economia,NR,201
economia,IQ,108
economia,AH,262
economia,SP,1003
economia,NY,261
economia,BU,210
economia,US,543
economia,SZ,7
economia,ZE,27
economia,PD,2
economia,OT,434
economia,EI,216
economia,LS,204
economia,LL,528
economia,GA,493
economia,LV,132
economia,EZ,186
economia,JO,229
economia,OI,122
economia,HL,7
economia,UM,209
economia,DU,207
economia,DD,78
economia,RS,427
economia,PH,10
economia,NQ,96
economia,YU,62
economia,UD,244
economia,IF,158
economia,FE,227
economia,DY,55
economia,CN,21
economia,OO,87
economia,NN,100
economia,PQ,3
economia,YH,26
economia,HU,112
economia,IY,11
economia,YC,100
economia,PC,34
economia,YD,99
economia,SN,137
economia,LG,128
economia,FJ,1
economia,CC,158
economia,FO,195
economia,UY,76
economia,YN,30
economia,SR,145
economia,OF,181
economia,FR,144
economia,DM,27
economia,TP,6
economia,YS,98
