url,FrecuenciaTotal,seccion
https://larepublica.pe/politica/2025/04/16/isaac-humala-sobre-ollanta-y-nadine-heredia-uno-esta-en-la-carcel-y-la-otra-ha-preferido-vivir-en-el-exilio-hnews-1581088,2699,politica
https://larepublica.pe/politica/2025/04/16/nadine-heredia-llega-a-brasil-difunden-primera-imagen-de-la-ex-primera-dama-en-sao-paulo-958208,2158,politica
https://larepublica.pe/politica/2025/04/17/dina-boluarte-recicla-a-censurado-exministro-juan-santivanez-y-lo-nombra-asesor-en-el-despacho-presidencial-hnews-295256,2840,politica
https://larepublica.pe/espectaculos/2025/04/17/alamo-perezluna-murio-a-los-61-anos-periodista-estuvo-internado-en-el-hospital-rebagliati-899283,2238,politica
https://larepublica.pe/sociedad/2025/04/17/captan-el-violento-enfrentamiento-a-balazos-entre-el-monstruo-y-pnp-en-brasil-deja-efectivo-policial-fallecido-y-varios-heridos-1372920,3002,politica
https://larepublica.pe/sociedad/2025/04/16/las-exitosas-carreras-de-los-6-nietos-de-mario-vargas-llosa-en-que-universidades-estudiaron-y-que-profesion-realizan-evat-660176,2979,politica
https://larepublica.pe/economia/2025/04/15/abren-los-bancos-de-lima-en-semana-santa-horarios-y-cuales-trabajan-por-feriado-del-jueves-y-viernes-santo-bcp-interbank-bbva-atmp-643890,1788,politica
https://larepublica.pe/sociedad/2025/04/15/hay-atencion-en-supermercados-por-semana-santa-hora-y-cuales-estan-abiertos-en-jueves-y-viernes-santo-atmp-771465,1552,politica
https://larepublica.pe/champions-league/2025/04/16/real-madrid-courtois-lanzo-dura-critica-tras-la-eliminacion-ante-el-arsenal-en-champions-league-tenemos-que-hacer-mas-jugadas-en-equipo-1579568,1857,politica
https://larepublica.pe/economia/2025/04/11/cts-licencias-sin-goce-de-haber-y-edad-laboral-en-el-sector-publico-conoce-los-nuevos-cambios-y-desde-cuando-aplican-atmp-218768,3527,politica
https://larepublica.pe/datos-estados-unidos/2025/04/14/muy-buenas-noticias-para-residentes-de-florida-ron-desantis-anuncia-fin-de-estos-carriles-de-alivio-de-congestion-en-el-estado-lrtmus-811874,3330,politica
https://larepublica.pe/economia/2025/04/14/habra-pago-del-reintegro-3-del-fonavi-este-17-y-18-de-abril-por-semana-santa-banco-de-la-nacion-aclara-si-fonavistas-podran-cobrar-atmp-286860,2772,politica
https://larepublica.pe/politica/2025/04/15/dina-boluarte-comision-de-fiscalizacion-del-congreso-aprueba-informe-que-recomienda-suspenderla-por-abandono-del-cargo-hnews-564375,2920,politica
https://larepublica.pe/politica/2025/04/15/en-vivo-ollanta-humala-y-nadine-heredia-poder-judicial-dicta-sentencia-contra-la-expareja-presidencial-por-caso-lavado-de-activos-hnews-842745,754,politica
https://larepublica.pe/politica/2025/04/14/congreso-testigo-protegido-sobre-andrea-vidal-y-sus-amigas-una-de-ellas-le-prestaba-servicios-al-expresidente-del-congreso-hnews-1174432,3133,politica
https://larepublica.pe/politica/2025/04/17/wasi-mikuna-gobierno-suspende-la-distribucion-de-alimentos-para-42-millones-de-escolares-qali-warma-midis-hnews-471886,2771,politica
https://larepublica.pe/politica/2025/04/17/cristo-cholo-envia-fuerte-mensaje-a-dina-boluarte-en-semana-santa-sirva-al-pueblo-no-se-sirva-del-pueblo-hnews-1412326,1791,politica
https://larepublica.pe/politica/2025/04/17/dina-boluarte-esta-mirando-a-futuro-algun-tipo-de-asilo-politico-asegura-exministro-tras-salvoconducto-a-favor-de-nadine-heredia-hnews-1173561,2391,politica
https://larepublica.pe/politica/2025/04/16/antauro-humala-sobre-la-prision-de-ollanta-en-barbadillo-es-imposible-que-lo-visite-no-visito-traidores-y-ladrones-hnews-250736,2455,politica
https://larepublica.pe/politica/2025/04/16/ollanta-humala-en-barbadillo-expresidente-ocupara-la-celda-donde-estuvo-el-exdictador-alberto-fujimori-segun-inpe-hnews-433696,2657,politica
https://larepublica.pe/politica/2025/04/16/gustavo-adrianzen-se-incomoda-con-periodista-que-le-pregunto-por-otarola-no-te-voy-a-responder-cambia-de-pregunta-hnews-619776,1394,politica
https://larepublica.pe/politica/2025/04/15/los-expresidentes-peruanos-que-han-sido-condenados-a-prision-en-los-ultimos-30-anos-ollanta-humala-se-une-a-la-lista-evat-1196715,3513,politica
https://larepublica.pe/politica/2025/04/17/julio-reategui-lazarte-investigado-por-homicidio-tras-muertes-en-protestas-fue-designado-como-viceministro-del-ministerio-del-interior-hnews-249050,2345,politica
https://larepublica.pe/politica/2025/04/17/cesar-acuna-asegura-que-es-normal-que-alcaldes-tomen-su-chela-tras-jugar-futbol-soy-provinciano-y-se-lo-que-pasa-hnews-815643,2119,politica
https://larepublica.pe/politica/2025/04/17/ilan-heredia-quien-es-el-hermano-de-nadine-heredia-condenado-tambien-por-lavado-de-activos-y-hoy-profugo-hnews-516375,2775,politica
https://larepublica.pe/politica/2025/04/17/canciller-schialer-se-pronuncia-sobre-asilo-a-nadine-heredia-el-gobierno-estaba-en-la-obligacion-de-aceptar-hnews-968082,1974,politica
https://larepublica.pe/politica/2025/04/17/susana-villaran-enfrentara-a-partir-de-mayo-juicio-oral-por-presuntas-coimas-en-rutas-de-lima-hnews-1295145,3072,politica
https://larepublica.pe/politica/2025/04/16/gustavo-adrianzen-sobre-ollanta-humala-forme-parte-de-su-gobierno-pero-estoy-sorprendido-por-esta-investigacion-hnews-1310160,2574,politica
https://larepublica.pe/politica/2025/04/17/news-dina-boluarte-vuelve-a-beneficiar-a-wilfredo-oscorima-transfiere-49-millones-de-soles-a-obra-que-ya-fue-financiada-hnews-384591,3065,politica
https://larepublica.pe/politica/2025/04/16/juez-vinculado-a-los-hermanitos-de-cesar-hinostroza-oswaldo-espinoza-presidira-el-jee-lima-centro-hnews-922560,5365,politica
https://larepublica.pe/politica/2025/04/16/el-poder-de-la-autoridad-nacional-de-control-perturba-al-poder-judicial-y-el-ministerio-publico-hnews-1571888,8032,politica
https://larepublica.pe/politica/2025/04/17/juan-jose-santivanez-en-el-despacho-de-dina-boluarte-estas-son-las-nuevas-funciones-que-asumira-el-censurado-exministro-hnews-1137045,2540,politica
https://larepublica.pe/politica/2025/04/16/nadine-heredia-llega-a-brasil-asilada-por-lula-da-silva-tras-ser-condenada-por-lavado-de-activos-hnews-201744,2121,politica
https://larepublica.pe/politica/2025/04/16/janet-tello-hace-referencia-al-asilo-politico-otorgado-a-nadine-heredia-no-hace-mas-que-perpetuar-un-mensaje-de-impunidad-hnews-250368,2336,politica
https://larepublica.pe/politica/2025/04/16/congreso-aprueba-interpelar-a-ministra-de-desarrrollo-e-inclusion-social-leslie-urteaga-por-intoxicacion-escolar-hnews-1388304,2276,politica
https://larepublica.pe/politica/2025/04/16/ollanta-humala-y-nadine-heredia-ex-primera-dama-viajo-a-brasil-horas-despues-de-ser-sentenciada-quince-anos-a-prision-hnews-881680,2519,politica
https://larepublica.pe/politica/2025/04/16/embajadora-de-eeuu-stephanie-syptakramnath-se-despide-de-peru-ante-nuevo-regimen-de-donald-trump-hnews-645328,1716,politica
https://larepublica.pe/politica/2025/04/16/rmp-compara-caso-ollanta-humala-y-nadine-heredia-con-caso-cocteles-de-keiko-fujimori-es-igualito-hnews-1212544,2537,politica
https://larepublica.pe/politica/2025/04/16/jaime-chincha-sobre-asilo-de-nadine-heredia-llama-la-atencion-la-rapidez-con-la-se-otorgo-el-salvoconducto-hnews-702944,2866,politica
https://larepublica.pe/politica/2025/04/16/congreso-busca-firmas-para-interpelar-a-canciller-schialer-tras-asilo-diplomatico-de-nadine-heredia-a-brasil-hnews-701632,2196,politica
https://larepublica.pe/politica/2025/04/16/al-mismo-estilo-de-nadine-heredia-las-ex-primeras-damas-que-se-encuentran-fuera-del-pais-mientras-sus-esposos-estan-en-prision-hnews-926832,4403,politica
https://larepublica.pe/politica/2025/04/16/nadine-heredia-en-brasil-peru-podria-extraditar-a-esposa-de-ollanta-humala-a-pesar-de-asilo-politico-hnews-843040,1967,politica
https://larepublica.pe/politica/2025/04/16/congreso-blinda-al-ministro-de-transportes-rechazan-interpelacion-a-raul-perez-reyes-con-48-votos-en-contra-hnews-449936,2285,politica
https://larepublica.pe/politica/2025/04/16/morgan-quero-congreso-rechaza-interpelar-al-ministro-de-educacion-por-declaraciones-sobre-menores-en-comunidades-indigenas-hnews-954784,2175,politica
https://larepublica.pe/politica/2025/04/16/congreso-blinda-al-ministro-de-salud-cesar-vasquez-y-rechaza-interpelarlo-por-caso-medifarma-hnews-692912,3692,politica
https://larepublica.pe/politica/2025/04/16/ollanta-humala-por-que-nadine-heredia-fue-condenada-a-15-anos-de-prision-y-como-logro-burlar-a-la-justicia-de-peru-evat-430944,3934,politica
https://larepublica.pe/politica/2025/04/16/ollanta-humala-ingreso-al-penal-de-barbadillo-y-nadine-obtuvo-asilo-politico-en-brasil-hnews-1209375,9420,politica
https://larepublica.pe/politica/2025/04/16/dina-boluarte-y-el-teleprompter-carlincatura-expone-los-vacios-y-las-influencias-en-el-discurso-presidencial-hnews-523136,664,politica
https://larepublica.pe/politica/2025/04/15/ollanta-humala-y-nadine-heredia-por-que-su-sentencia-marcaria-un-precedente-en-el-caso-de-keiko-fujimori-hnews-252300,3814,politica
https://larepublica.pe/politica/2025/04/16/mininter-desacata-a-la-contraloria-e-insiste-en-comprar-avion-brasileno-ministerio-del-interior-cgr-hnews-1498944,4288,politica
https://larepublica.pe/politica/2025/04/15/asilo-politico-en-peru-quienes-fueron-los-presidentes-que-recurrieron-a-embajadas-extranjeras-para-escapar-de-la-justicia-evat-1082550,3271,politica
https://larepublica.pe/politica/2025/04/14/salvador-del-solar-pj-admite-a-tramite-su-demanda-de-amparo-contra-juicio-politico-del-congreso-hnews-1008266,3490,politica
https://larepublica.pe/politica/2025/04/16/nadie-heredia-congreso-rechaza-que-el-canciller-elmer-schialer-asista-a-explicar-salvoconducto-a-exprimera-dama-hnews-626320,2401,politica
https://larepublica.pe/politica/2025/04/16/ollanta-humala-pedro-castillo-y-alejandro-toledo-la-trilogia-presidencial-que-termino-en-el-penal-barbadillo-por-lavado-de-activos-golpe-de-estado-y-corrupcion-hnews-295984,2047,politica
https://larepublica.pe/politica/2025/04/15/ollanta-humala-es-trasladado-al-penal-de-barbadillo-tras-ser-sentenciado-a-15-anos-de-prision-efectiva-hnews-1153590,1831,politica
https://larepublica.pe/politica/2025/04/16/encuestadora-le-lava-la-cara-a-cuestionado-alcalde-de-piura-tras-protagonizar-accidente-en-estado-de-ebriedad-hnews-468608,2431,politica
https://larepublica.pe/politica/2025/04/15/poder-judicial-condena-a-ollanta-humala-y-nadine-heredia-a-15-anos-de-prision-por-lavado-de-activos-hnews-608190,3102,politica
https://larepublica.pe/politica/2025/04/15/ollanta-humala-y-nadine-heredia-a-que-penal-seran-trasladados-tras-su-condena-por-lavado-de-activos-hnews-845160,2041,politica
https://larepublica.pe/politica/2025/04/15/rmp-critica-ley-anti-ong-que-promulgo-el-gobierno-de-dina-boluarte-es-absolutamente-inconstitucional-hnews-659430,1971,politica
https://larepublica.pe/economia/2025/04/17/yape-se-cayo-hoy-usuarios-reportan-fallas-en-el-aplicativo-del-bcp-en-semana-santa-caida-de-yape-atmp-1640194,2746,politica
https://larepublica.pe/sociedad/2025/04/16/cae-el-monstruo-en-brasil-conoce-al-criminal-mas-buscado-del-peru-que-se-burlaba-de-la-pnp-en-redes-sociales-289808,2260,politica
https://larepublica.pe/mundo/2025/04/16/donald-trump-advierte-a-paises-de-america-latina-deben-elegir-entre-china-y-estados-unidos-hnews-512880,2812,politica
https://larepublica.pe/economia/2025/04/17/pedro-francke-exministro-de-economia-y-finanzas-el-peru-podria-ser-un-espacio-de-disputa-entre-eeuu-y-china-debido-a-chancay-hnews-221072,10438,politica
https://larepublica.pe/opinion/2025/04/17/la-autopreservacion-de-la-alianza-gobernante-642991,1924,politica
https://larepublica.pe/entretenimiento/2025/04/17/muere-alamo-perezluna-hijo-del-periodista-le-dedica-conmovedor-mensaje-tras-su-muerte-1208649,2170,politica
https://larepublica.pe/entretenimiento/2025/04/16/futbolista-aldo-corzo-sorprende-al-presentar-a-famosa-actriz-como-su-novia-y-desata-revuelo-en-redes-sociales-1377792,2646,politica
https://larepublica.pe/historias-estados-unidos/2025/04/16/inmigrante-venezolana-en-estados-unidos-genera-polemica-al-revelar-que-solo-envia-us30-a-su-mama-no-tengo-maquina-para-reproducir-dinero-lrtmusv-1258336,2399,politica
https://larepublica.pe/entretenimiento/2025/04/17/alamo-perez-luna-fallecio-a-los-61-anos-que-programas-condujo-el-periodista-peruano-y-por-que-se-alejo-de-la-tv-evat-541552,2812,politica
https://larepublica.pe/historias-estados-unidos/2025/04/16/hombre-halla-cadaver-de-la-hija-de-su-prometida-en-una-banera-y-madre-seria-la-principal-sospechosa-esta-arrestada-en-california-lrtmus-1408224,1827,politica
https://larepublica.pe/espectaculos/2025/04/15/mario-vargas-llosa-murio-jaime-bayly-impacta-al-revelar-que-el-escritor-peruano-fallecio-debido-a-un-cancer-hematologico-187800,3344,politica
https://larepublica.pe/espectaculos/2025/04/17/paco-bazan-y-susana-alvarado-de-corazon-serrano-ya-no-esconden-su-amor-conoce-la-increible-diferencia-de-edad-entre-exfutbolista-y-la-cantante-864620,2111,politica
https://larepublica.pe/entretenimiento/2025/04/16/janet-barboza-lanza-despectiva-frase-contra-magaly-medina-y-deja-en-shock-a-ethel-pozo-no-tienes-autoridad-239616,2256,politica
https://larepublica.pe/tendencias/2025/04/15/chilena-queda-sorprendida-por-el-respeto-que-tienen-los-peruanos-a-su-gastronomia-la-comida-casera-en-peru-es-sagrada-evat-205005,2895,politica
https://larepublica.pe/sociedad/2025/04/13/conductores-en-peru-que-mantengan-un-historial-sin-infracciones-de-transito-por-dos-anos-obtienen-este-beneficio-en-2025-via-mtc-atmp-248040,3826,politica
https://larepublica.pe/estados-unidos/2025/04/15/malas-noticias-para-inmigrantes-en-eeuu-ice-arresta-a-mas-de-1000-trabajadores-indocumentados-y-lanza-advertencia-a-empresas-lrtmus-374040,1884,politica
https://larepublica.pe/datos-lr/chile/2025/04/17/restriccion-vehicular-2025-en-santiago-en-que-comunas-de-la-region-metropolitana-se-aplicara-y-a-que-automoviles-lrtmc-553622,2870,politica
https://larepublica.pe/sociedad/2025/04/17/semana-santa-se-registra-gran-congestion-vehicular-en-el-ingreso-a-chancay-por-viajes-familiares-hnews-1297576,1007,politica
https://larepublica.pe/sociedad/2025/04/16/varios-distritos-en-lima-no-tendran-agua-hasta-el-mediodia-durante-semana-santa-advierte-sedapal-175936,2033,politica
https://larepublica.pe/sociedad/2025/04/16/el-nuevo-penal-de-maxima-seguridad-del-peru-contara-ia-y-estaria-listo-para-inicios-de-mayo-769808,2997,politica
https://larepublica.pe/mexico/2025/04/17/ley-seca-en-mexico-por-semana-santa-2025-conoce-la-fuerte-multa-que-deberas-pagar-si-vendes-cerveza-en-cdmx-lrtmus-862444,2783,politica
https://larepublica.pe/agencias/2025/04/17/trump-esta-100-seguro-de-alcanzar-acuerdo-sobre-aranceles-con-la-ue-211610,3318,politica
https://larepublica.pe/espectaculos/2025/04/14/la-historia-del-matrimonio-entre-mario-vargas-llosa-y-su-tia-julia-cuanto-tiempo-estuvieron-casados-y-que-le-dio-de-compensacion-tras-su-divorcio-evat-1352232,3471,politica
https://larepublica.pe/espectaculos/2025/04/17/beto-ortiz-reconoce-su-rivalidad-con-alamo-perezluna-en-emotivo-mensaje-de-despedida-el-eterno-numero-uno-1517012,3640,politica
https://larepublica.pe/entretenimiento/2025/04/17/periodista-fernando-diaz-revela-conversacion-con-alamo-perez-luna-dias-antes-de-morir-he-vivido-intensamente-1502018,2692,politica
https://larepublica.pe/entretenimiento/2025/04/17/murio-alamo-perez-luna-cuando-y-donde-sera-el-velorio-del-exconductor-peruano-de-vidas-extremas-1093678,1431,politica
https://larepublica.pe/tendencias/2025/04/17/los-memes-mas-graciosos-de-la-semana-santa-2025-no-podras-parar-de-reir-345899,2381,politica
https://larepublica.pe/mundo/2025/04/17/tiroteo-activo-en-la-universidad-estatal-de-florida-deja-al-menos-4-heridos-lrtmus-1204127,2649,politica
https://larepublica.pe/estados-unidos/2025/04/17/madre-de-estudiante-de-la-universidad-de-florida-cuenta-como-su-hija-se-comunico-con-ella-durante-el-tiroteo-no-se-si-te-voy-a-ver-de-nuevo-lrtmus-1449828,2521,politica
https://larepublica.pe/estados-unidos/2025/04/16/general-motors-compania-de-estados-unidos-anuncio-despidos-masivos-y-el-cierre-temporal-de-esta-sede-lrtmus-600032,3447,politica
https://larepublica.pe/publirreportajes/2025/04/16/que-es-el-factoring-convierte-tus-facturas-por-cobrar-en-dinero-al-instante-571712,2429,politica
https://larepublica.pe/publirreportajes/2025/04/14/como-ganar-dinero-con-solo-100-soles-738780,3648,politica
https://larepublica.pe/publirreportajes/2025/04/11/factoring-online-como-obtener-dinero-en-48-horas-prestamype-895785,2559,politica
https://larepublica.pe/publirreportajes/2025/04/07/en-infocorp-accede-a-prestamos-rapidamente-con-prestamype-financiamiento-para-deudores-478254,2764,politica
https://larepublica.pe/economia/2025/04/17/sueldos-en-peru-aspiracion-salarial-sube-a-s3176-cuales-son-las-carreras-con-pretensiones-mas-altas-hnews-1095157,2294,politica
https://larepublica.pe/economia/2025/04/17/esta-es-la-pension-de-la-onp-para-trabajadores-afiliados-que-tienen-aportes-de-menos-de-20-anos-revisa-los-otros-beneficios-atmp-1025202,2621,politica
https://larepublica.pe/economia/2025/04/17/cut-denuncia-riesgo-en-telecomunicaciones-y-despidos-tras-venta-de-telefonica-del-peru-a-integra-tec-hnews-922964,1681,politica
https://larepublica.pe/sociedad/2025/04/17/atencion-conductores-estos-son-los-pasos-para-ver-si-tu-licencia-de-conducir-esta-inscrita-en-el-mtc-atmp-1009851,2825,politica
https://larepublica.pe/sociedad/2025/04/17/hurbert-chacara-castro-que-paso-con-el-hombre-que-asesino-a-un-estudiante-de-la-unmsm-dentro-del-campus-universitario-evat-762552,1761,politica
https://larepublica.pe/sociedad/2025/04/17/golpe-a-los-pulpos-caen-dos-extorsionadores-en-trujillo-1502375,815,politica
https://larepublica.pe/pronosticos/2024/11/27/resena-bet365-peru-2024-bono-hasta-500-soles-y-la-mejor-seguridad-en-apuestas-1951479,7810,politica
https://peru21.pe/economia/cuando-se-podra-retirar-la-cts/,1284,economia
https://peru21.pe/economia/aprueban-marco-para-las-zonas-economicas-especiales/,1227,economia
https://peru21.pe/economia/pleno-del-congreso-aprueba-por-mayoria-la-liberacion-del-100-de-la-cts/,793,economia
https://peru21.pe/economia/sunat-como-realizar-pago-de-cuotas-de-fraccionamiento-de-manera-virtual/,1804,economia
https://peru21.pe/economia/la-hipica-peruana-apuestas-crecen-casi-5-en-el-primer-trimestre-de-2025/,2729,economia
https://peru21.pe/economia/semana-santa-feriado-movilizara-18-millones-de-turistas/,1483,economia
https://peru21.pe/economia/aranceles-de-eeuu-sector-agrario-necesita-que-se-apruebe-nueva-ley/,1855,economia
https://peru21.pe/economia/huella-emprendedora-buenas-ideas-para-grandes-negocios/,8456,economia
https://peru21.pe/economia/nativas-emprendedoras-y-empoderadas-ocho-sur/,2996,economia
https://peru21.pe/economia/el-motor-del-peru-una-mirada-al-valor-del-emprendedor-peruano/,3059,economia
https://peru21.pe/economia/bbva-estamos-tiempo-para-solucionar-el-problema-de-inseguridad/,1231,economia
https://peru21.pe/celebridades/revelan-la-causa-del-fallecimiento-de-la-actriz-michelle-trachtenberg-los-39-anos/,1572,economia
https://peru21.pe/celebridades/william-levy-queda-libre-tras-pagar-fianza-por-incidente-en-florida/,1333,economia
https://peru21.pe/celebridades/paloma-cuevas-construye-la-casa-de-ensueno-para-luis-miguel/,1324,economia
https://peru21.pe/celebridades/conoce-las-peliculas-mas-vistas-por-los-peruanos-en-semana-santa/,2563,economia
https://peru21.pe/celebridades/johnny-depp-regresa-al-cine-con-day-drinker/,1109,economia
https://peru21.pe/celebridades/princesa-leonor-llega-lima-todos-los-detalles-de-su-itinerario-maritimo/,2884,economia
https://peru21.pe/celebridades/taylor-swift-demanda-kanye-west-por-hacer-comentarios-sexuales-en-x/,1438,economia
https://peru21.pe/celebridades/se-ven-las-primeras-imagenes-de-katy-perry-en-el-espacio-video/,1749,economia
https://peru21.pe/celebridades/gigantes-de-la-moda-se-unen-prada-compra-versace-por-1250-millones-de-euros/,1724,economia
https://peru21.pe/celebridades/exreguetonero-hector-el-father-lanza-su-canal-te-television-cristiano/,2128,economia
https://peru21.pe/celebridades/maluma-deslumbrado-con-shakira-asi-fue-el-encuentro-en-medellin-video/,915,economia
https://peru21.pe/celebridades/muere-modelo-australiana-de-27-anos-la-industria-de-la-moda-esta-de-luto/,1478,economia
https://peru21.pe/celebridades/eric-dane-actor-de-greys-anatomy-y-euphoria-padece-esclerosis-lateral-amiotrofica-ela/,1421,economia
https://peru21.pe/peru/esposa-de-paul-flores-ofrece-conmovedor-tributo-un-mes-de-su-partida/,1364,economia
https://peru21.pe/peru/todo-que-debes-saber-para-salir-o-ingresar-del-pais-con-tus-perros-y-gatos/,3289,economia
https://peru21.pe/peru/retiran-tres-jueces-que-celebraron-cumpleanos-en-sala-de-audiencias/,1820,economia
https://peru21.pe/peru/padres-en-iquitos-claman-por-nueva-infraestructura-escolar-ante-aulas-inundadas/,3011,economia
https://peru21.pe/peru/muere-el-alcalde-de-la-provincia-del-santa-luis-gamarra-alor-los-74-anos/,1611,economia
https://peru21.pe/peru/incendio-en-lurin-minsa-informa-que-16-personas-fueron-hospitalizadas/,1560,economia
https://peru21.pe/peru/aprueban-declarar-el-13-de-junio-como-el-dia-nacional-del-pan-peruano/,1378,economia
https://peru21.pe/peru/chiclayo-detienen-profesor-por-acosar-sexualmente-alumna-de-14-anos/,1143,economia
https://peru21.pe/peru/tacna-exigen-traslado-de-reos-y-cierre-del-penal-de-challapalca/,1582,economia
https://peru21.pe/peru/ica-accion-popular-inunda-la-region-con-propaganda-anticipada/,2258,economia
https://peru21.pe/peru/peru-travel-mart-2025-el-evento-de-canatur-que-promueve-el-turismo-nacional/,2084,economia
